mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
6,149709.81327902278,2406.1915991135174,2452.742963510129,47603.305785123965,6298.8799002380965,269816.5659425001,2.05154697858683,1.0
7,6336.272989671681,2099.4455091949203,1781.140015617013,142809.9173553719,6563.738452934202,127097.48861744357,0.9663842093915664,1.0
8,7160.441417435033,1190.0114717568067,4495.181883913669,6148.760330578512,12208.300373136786,112595.69891900642,0.8561200277390931,1.0
9,111547.6504608894,2318.611257864992,4738.4017267754825,3570.2479338842977,10182.633301638727,207970.6776754623,1.810662594615778,1.0
10,57565.73195617868,2062.6557919685147,1250.2003815775388,61487.603305785095,6733.389485833663,198127.8722504132,1.7249678235623853,1.0
11,20350.551701890905,6230.145296376519,1162.0782696835522,59504.13223140493,7986.915668765573,156055.44307882656,1.3586711195410102,1.0
12,5239.418757587621,5355.3613402675255,2315.587762125535,41652.89256198347,7545.753192113044,115135.98966045966,1.0024126098083113,1.0
1,48697.14852951755,57.64200666597753,3451.9092554110975,1983.4710743801652,11354.826234565213,147100.57363228675,1.2807070174486008,1.0
2,40052.798809853644,2261.177691058954,586.0281855934882,33719.00826446282,6494.093482340696,148615.42020080236,1.293895780637965,1.0
3,67576.98949704599,386.82596774192643,734.6173464346793,35702.47933884298,7104.375141320272,173037.76383899234,1.5065249098632367,1.0
4,92830.89656800243,1551.924614255753,-3.4425139907980338,41652.89256198347,7096.067664869943,218675.06730838792,1.6626932155248009,1.0
5,67400.05853579465,2787.689715069544,3146.710340520134,89256.19834710743,7069.661097763222,189390.2457738613,1.4400264310456894,1.0
6,68354.31141357665,2628.6483834277024,4360.976451126131,59504.132231404954,8816.210840880714,187691.88604745385,1.4271129735154084,1.0
7,3525.9344652746117,253.12186358787585,1096.7532591127674,59504.132231404954,7829.73998835825,123040.31689744038,0.935535553547528,1.0
8,42594.98073931437,544.3754642250424,4561.560626100778,6148.760330578512,13933.508809747336,141535.84333455315,1.0761660639347879,1.0
9,23909.36502759731,832.9984243663203,1732.418797325634,27768.59504132232,7667.947361255481,129109.24558661335,1.124068470688669,1.0
10,21462.654454310483,4039.344723782371,4087.7051826690586,15867.768595041325,6628.575614895904,128027.19537209996,1.1146477779698005,1.0
11,3340.003804307772,2631.7423807763553,2435.228009320068,13884.297520661159,6441.3534628672005,111238.06256433566,0.9684759468691986,1.0
